Load,NDV,Solar,Wind
9731.04,7562.04,169,2000
9778.93,7685.93,135,1958
9702.49,7547.49,111,2044
9797.72,7704.72,59,2034
9894.79,7933.79,0,1961
10002.93,7951.93,0,2051
9931.38,7882.38,0,2049
9801.88,7900.88,0,1901
9571.78,7595.78,0,1976
9230.6,7400.6,0,1830
9022.23,7260.23,0,1762
8891.58,7308.58,2,1581
8927.12,7384.12,0,1543
8892.33,7351.33,0,1541
8906.87,7580.87,0,1326
9008.28,7843.28,0,1165
9281.33,8446.33,0,835
9760.02,9170.02,0,590
10068.36,9593.36,0,475
10058.23,9670.23,16,372
10094.2,9791.2,110,193
10037.51,9827.51,186,24
10016.53,9786.53,217,13
9963.9,9625.9,294,44
9976.85,9479.85,320,177
9889.06,9553.06,161,175
9954.8,9670.8,156,128
10023.75,9777.75,103,143
9964.02,9565.02,0,399
10076.99,9068.99,0,1008
10015.43,8645.43,0,1370
10064.83,8342.83,0,1722
9813.6,8121.6,0,1692
9603.27,8031.27,0,1572
9307.8,7772.8,0,1535
9296.93,7757.93,1,1538
9157.38,7650.38,0,1507
9112.14,7967.14,0,1145
9099.89,8133.89,0,966
9120.88,8490.88,0,630
9471.54,8889.54,0,582
9985.51,9422.51,0,563
10251.71,9836.71,0,415
10331.72,9929.72,3,399
10326.71,9965.71,51,310
10217.35,9797.35,74,346
10262.73,9821.73,95,346
10340.71,9870.71,105,365
10327.54,9887.54,100,340
10241.23,9819.23,85,337
10194.7,9746.7,54,394
10327.38,9858.38,13,456
10377.88,9915.88,0,462
10301.35,9749.35,0,552
10173.68,9448.68,0,725
10031.21,9235.21,0,796
9996.97,8981.97,0,1015
9780.09,8715.09,0,1065
9460.03,8424.03,0,1036
9454.83,8368.83,0,1086
9405.05,8182.05,0,1223
9394.38,8176.38,0,1218
9361.25,8215.25,0,1146
9436.48,8303.48,0,1133
9727.7,8670.7,0,1057
10134.5,8992.5,0,1142
10449.9,9401.9,0,1048
10536.73,9133.73,0,1403
10636.89,9170.89,21,1445
