Solar,Wind
763,342
761,342
766,340
770,335
767,340
771,340
770,339
769,334
771,332
772,329
775,334
779,340
779,336
789,334
798,337
806,335
815,338
822,341
828,337
828,335
823,333
826,332
834,329
837,327
846,323
854,321
865,320
879,314
890,319
901,323
914,317
911,328
916,316
902,314
887,318
855,313
827,323
816,330
822,333
830,335
833,353
819,345
804,344
797,346
791,352
785,349
783,350
782,346
777,353
770,353
772,351
776,350
783,356
782,370
786,359
785,363
783,372
764,370
740,379
726,384
699,385
690,382
695,379
701,393
710,403
707,389
724,394
718,403
716,406
717,405
711,409
703,415
703,426
710,419
721,424
722,424
731,436
732,441
767,434
762,449
782,453
779,455
776,448
783,445
785,452
781,467
763,469
745,478
734,494
729,492
729,511
733,504
743,506
750,506
762,522
774,530
776,535
778,545
790,545
789,534
798,554
807,553
822,559
836,559
844,562
848,576
860,593
879,606
883,617
874,625
865,618
873,622
884,634
877,647
866,650
864,638
874,642
889,648
923,650
927,658
953,642
944,654
961,661
955,661
956,664
957,665
957,667
950,679
951,684
950,672
954,685
949,689
948,687
943,697
936,707
942,713
945,706
950,696
957,697
960,735
960,735
961,748
962,745
957,746
961,738
965,761
969,762
956,771
936,773
922,767
914,802
906,829
909,826
907,831
906,832
902,831
905,826
899,821
901,834
900,837
907,827
905,817
909,832
909,825
927,847
919,862
900,853
880,848
879,858
884,862
876,876
877,858
875,843
864,839
863,851
841,846
823,870
805,885
803,880
800,866
799,871
806,869
802,883
775,877
761,880
761,885
760,896
759,895
769,903
759,912
775,928
790,919
777,949
764,945
764,946
736,947
737,970
750,969
754,973
755,976
762,971
754,985
765,984
764,984
768,1002
772,1002
781,1005
778,1022
790,1014
799,1020
806,1036
806,1053
800,1064
802,1042
809,1053
813,1060
818,1051
817,1055
815,1068
798,1092
786,1094
780,1102
778,1128
778,1119
786,1145
789,1162
799,1175
803,1153
806,1161
811,1175
812,1156
812,1169
808,1163
799,1167
792,1171
785,1182
797,1194
789,1209
813,1196
814,1225
837,1225
837,1219
858,1211
863,1216
897,1215
886,1235
888,1237
885,1255
881,1263
897,1261
891,1278
905,1262
900,1265
865,1250
834,1275
809,1274
792,1280
794,1291
804,1278
803,1271
810,1277
811,1268
848,1263
842,1243
854,1252
844,1252
834,1265
834,1299
854,1319
855,1291
851,1297
847,1284
842,1288
842,1285
852,1321
859,1306
851,1326
856,1333
865,1330
875,1333
869,1324
852,1327
839,1341
808,1336
777,1356
745,1372
739,1369
733,1335
747,1330
762,1336
786,1348
796,1345
775,1333
769,1333
778,1325
772,1289
786,1303
791,1288
795,1277
798,1273
806,1268
783,1246
791,1237
771,1230
767,1215
757,1231
793,1234
823,1241
833,1245
821,1243
809,1239
806,1230
794,1235
801,1235
800,1244
797,1245
796,1258
783,1260
774,1271
782,1267
794,1302
788,1309
816,1315
829,1328
853,1331
858,1343
876,1344
861,1361
886,1367
886,1361
906,1364
893,1350
915,1355
914,1354
916,1369
912,1365
906,1365
898,1365
895,1369
891,1351
894,1343
896,1335
900,1345
901,1315
902,1339
891,1350
886,1337
884,1337
909,1306
921,1292
920,1292
893,1261
896,1270
893,1264
904,1256
904,1226
914,1203
914,1193
925,1187
926,1169
939,1203
937,1185
944,1162
928,1150
903,1146
881,1141
866,1151
845,1125
823,1131
788,1119
758,1100
723,1100
710,1098
698,1116
680,1111
657,1142
641,1167
630,1156
633,1144
625,1151
622,1145
612,1121
607,1123
605,1102
597,1088
582,1075
574,1043
584,1037
613,1037
664,1039
668,1033
682,1006
692,1013
700,977
714,960
751,979
790,951
784,943
767,943
736,934
711,944
678,912
647,917
616,929
598,932
592,918
605,904
625,905
641,903
661,909
665,900
674,883
693,874
700,869
733,861
739,850
749,850
754,852
757,839
750,849
741,847
728,848
717,851
685,855
646,856
606,843
582,822
555,815
535,802
517,802
511,825
507,826
514,832
512,819
523,820
524,814
531,801
526,825
536,826
540,823
554,830
555,829
562,846
556,843
556,854
556,860
585,868
569,865
596,843
647,843
687,854
698,839
720,840
734,838
745,834
739,834
743,834
737,842
735,836
738,834
738,821
740,817
745,830
756,829
759,825
755,837
754,842
749,849
744,866
743,856
733,867
692,875
643,884
616,893
613,897
599,901
593,914
585,915
567,929
551,923
565,935
560,936
562,950
514,954
472,963
497,957
501,968
500,979
502,987
498,990
499,975
496,976
497,979
497,973
533,971
543,969
545,965
540,958
532,946
520,935
496,916
453,914
433,909
442,908
456,897
444,891
446,871
426,848
414,846
398,847
384,859
369,852
361,856
351,855
345,851
339,839
335,846
329,840
326,841
322,834
319,848
313,854
309,852
308,873
306,859
301,848
299,852
298,847
296,854
294,854
292,857
286,864
284,855
283,842
285,847
282,852
282,855
280,857
278,845
276,842
274,847
271,855
267,852
262,855
261,851
260,861
259,848
257,844
256,839
255,828
254,839
250,828
252,848
253,835
250,820
246,825
247,824
246,829
245,836
243,833
242,828
239,830
233,829
231,810
229,808
228,808
229,811
228,811
226,815
227,816
225,825
223,828
220,821
218,825
213,820
211,829
208,823
208,825
205,825
202,821
200,826
197,814
198,820
196,827
193,822
188,819
183,822
178,825
173,819
169,818
165,814
161,815
157,818
154,820
150,810
146,827
141,826
138,824
134,824
131,822
127,811
125,820
122,818
119,802
115,805
111,806
108,794
104,805
102,810
100,807
98,811
96,813
94,818
91,816
87,814
85,816
83,812
82,804
80,816
77,818
76,824
74,817
72,816
69,826
67,832
66,832
64,833
62,830
60,828
57,822
56,817
54,811
52,808
50,811
47,811
43,816
41,816
38,812
37,812
35,816
34,818
32,815
31,816
30,820
28,822
25,822
24,817
23,819
21,831
20,825
18,826
17,831
15,835
14,836
13,837
12,843
12,853
11,856
9,856
9,863
7,872
4,872
1,879
0,882
0,887
0,890
0,894
0,903
0,908
0,908
0,912
0,918
0,920
0,920
0,923
0,925
0,927
0,929
0,931
0,941
0,944
0,946
0,937
0,951
0,951
0,950
0,955
0,955
0,962
0,965
0,972
0,970
0,974
0,976
0,978
0,973
0,979
0,975
0,982
0,985
0,984
0,980
0,983
0,982
0,986
0,993
0,992
0,990
0,989
0,993
0,992
0,988
0,991
0,995
0,994
0,991
0,991
0,988
0,988
0,990
0,994
0,997
0,999
0,1004
0,1001
0,1005
0,1002
0,1002
0,1005
0,1005
0,1002
0,1004
0,999
0,991
0,996
0,1001
0,999
0,999
0,1000
0,997
0,1004
0,1007
0,1009
0,1006
0,1007
0,1010
0,1011
0,1008
0,1009
0,1011
0,1008
0,1004
0,998
0,997
0,994
0,995
0,988
0,988
0,978
0,982
0,979
0,976
0,975
0,971
0,974
0,974
0,975
0,973
0,973
0,977
0,972
0,975
0,980
0,972
0,975
0,975
0,975
0,980
0,978
0,984
0,986
0,986
0,984
0,990
0,989
0,992
0,994
0,994
0,997
0,997
0,1002
0,1005
0,1005
0,1005
0,1008
0,1009
0,1008
0,1010
0,1012
0,1014
0,1008
0,1013
0,1016
0,1012
0,1015
0,1017
0,1010
0,1008
0,1008
0,1001
0,1005
0,1006
0,1011
0,1011
0,1003
0,1009
0,1007
0,1013
0,1012
0,1012
0,1016
0,1020
0,1022
0,1020
0,1027
0,1032
0,1036
0,1046
0,1047
0,1052
0,1052
0,1069
0,1071
0,1075
0,1073
0,1084
0,1088
0,1093
0,1095
0,1105
0,1108
0,1113
0,1115
0,1121
0,1118
0,1129
0,1134
0,1137
0,1142
0,1152
0,1153
0,1151
0,1152
0,1155
0,1163
0,1168
0,1172
0,1171
0,1170
0,1170
0,1173
0,1180
0,1180
0,1177
0,1197
0,1203
0,1209
0,1212
0,1207
0,1223
0,1230
0,1240
0,1245
0,1253
0,1269
0,1276
0,1290
0,1293
0,1300
0,1298
0,1308
0,1306
0,1315
0,1320
0,1330
0,1328
0,1333
0,1342
0,1351
0,1353
0,1352
0,1348
0,1362
0,1360
0,1368
0,1374
0,1371
0,1377
0,1390
0,1378
0,1377
0,1377
0,1380
0,1378
0,1381
0,1384
0,1383
0,1383
0,1380
0,1380
0,1383
0,1387
0,1381
0,1393
0,1391
0,1393
0,1398
0,1400
0,1401
0,1401
0,1395
0,1392
0,1391
0,1385
0,1385
0,1385
0,1388
0,1375
0,1375
0,1386
0,1384
0,1384
0,1388
0,1392
0,1384
0,1387
0,1394
0,1392
0,1397
0,1398
0,1395
0,1393
0,1392
0,1395
0,1390
0,1388
0,1382
0,1383
0,1380
0,1381
0,1379
0,1378
0,1377
0,1382
0,1377
0,1384
0,1388
0,1392
0,1394
0,1391
0,1385
0,1384
0,1389
0,1394
0,1392
0,1396
0,1400
0,1407
0,1400
0,1397
0,1392
0,1392
0,1407
0,1409
0,1409
0,1410
0,1404
0,1402
0,1406
0,1392
0,1389
0,1392
0,1387
0,1387
0,1381
0,1386
0,1379
0,1374
0,1365
0,1368
0,1365
0,1367
0,1362
0,1349
0,1350
0,1341
0,1331
0,1323
0,1319
0,1308
0,1293
0,1288
0,1275
0,1273
0,1258
0,1254
0,1253
0,1249
0,1236
0,1218
0,1223
0,1223
0,1222
0,1212
0,1204
0,1199
0,1202
0,1191
0,1191
0,1188
0,1183
0,1175
0,1171
0,1169
0,1164
0,1159
0,1149
0,1144
0,1145
0,1137
0,1136
0,1132
0,1131
0,1127
0,1129
0,1125
0,1119
0,1120
0,1114
0,1107
0,1114
0,1119
0,1115
0,1111
0,1109
0,1105
0,1103
0,1097
0,1097
0,1095
0,1093
0,1084
0,1080
0,1082
0,1082
0,1086
0,1080
0,1080
0,1086
0,1081
0,1084
0,1079
0,1080
0,1077
0,1078
0,1083
0,1082
0,1083
0,1077
0,1081
0,1082
0,1083
0,1090
0,1087
0,1085
0,1090
0,1088
0,1086
0,1089
0,1092
0,1090
0,1092
0,1091
0,1095
0,1093
0,1096
0,1095
0,1100
0,1096
